,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
lr_slope_20,1162.4660048484802,1405.1603150367737,1254.4575595855713,1441.1794619560242,1437.530191898346,1855.769263267517,1817.6152367591858,1653.4744930267334,1982.0309076309204,1676.176920890808,2108.2874507904053,2077.4235076904297,1883.8992276191711
lr_r2_20,1662.1298542022705,1832.364529132843,1534.5453672409058,2059.4573645591736,1778.866536140442,1738.3014969825745,1889.7019066810608,1689.5821194648743,2025.9546942710876,1886.4981875419617,1549.675943851471,1997.6895184516907,1946.249357700348
lr_slope_96,5129.04416847229,5285.526286840439,5787.849807262421,6175.310435295105,6042.137179374695,6479.237341880798,6492.147440910339,6063.940360546112,7863.388635635376,6948.836843490601,7329.978483200073,7627.361190795898,8332.529162406921
lr_r2_96,4109.641974925995,4102.962315559387,4671.000602245331,4768.929228782654,5044.456163883209,5240.645443439484,4966.490074157715,5269.07218503952,5379.168388366699,5745.431501865387,5577.241005897522,6181.1194887161255,6327.604555130005
rsi7,693.9307131767273,918.8182764053345,656.8514647483826,964.7914171218872,1079.209059715271,1050.5378317832947,1174.3390731811523,1662.6709094047546,1618.1337957382202,1709.76544713974,1658.0468473434448,1630.8102655410767,1471.606291294098
rsi14,769.293673992157,701.928111076355,646.1473207473755,645.3234281539917,620.0010032653809,801.0186948776245,719.3543043136597,561.3624787330627,949.1737422943115,690.9823207855225,881.9890375137329,816.3533039093018,957.3022508621216
rsi28,1053.8206315040588,1294.785563468933,1357.2543549537659,1132.393991470337,1473.3566422462463,1313.7339329719543,1343.0802993774414,1235.0064148902893,1120.8129243850708,1472.6251225471497,1822.0201358795166,1242.511516571045,1592.366205215454
macd_n,2009.3563041687012,2327.0180706977844,2569.129720211029,2297.9775581359863,2507.2149238586426,3037.464027404785,2818.2494406700134,2538.3206992149353,3108.1383781433105,2829.7598600387573,2840.3400049209595,2520.5628895759583,2452.37859249115
macd_hist_n,1487.941159248352,1722.2004985809326,2017.6938762664795,1973.794970035553,1675.801694393158,2397.54679107666,2061.630640029907,1750.0709147453308,1546.5189199447632,1966.5791158676147,2082.09836101532,2398.7313299179077,2086.9139561653137
macd_hist_slope,1303.3877954483032,1155.8119931221008,1341.4352583885193,1422.4506883621216,1543.5063152313232,1499.6350932121277,1283.363959312439,1292.8607110977173,1323.3568377494812,1363.5293440818787,1250.4450850486755,1494.1040816307068,1568.122347831726
stoch_k,1072.1468591690063,1405.5038313865662,816.6297025680542,975.376079082489,836.0873641967773,903.0667819976807,1291.8619847297668,907.2801818847656,1019.9227981567383,1189.0957446098328,1188.6364116668701,953.8554229736328,1119.558494567871
stoch_d,994.1904425621033,967.973358631134,1067.5809683799744,1044.4716219902039,1305.9473004341125,1065.6568050384521,884.1221671104431,1265.9762229919434,1225.2331266403198,1510.4592394828796,1490.8710765838623,1208.3511371612549,1276.573371887207
willr14,299.0544710159302,419.4805793762207,933.8383436203003,593.0096020698547,649.3816566467285,629.9023118019104,609.7586827278137,813.0137586593628,1021.7858366966248,983.0161256790161,832.0394282341003,865.1589803695679,783.7702074050903
cci20,657.039626121521,834.7390098571777,1082.8967657089233,795.1950497627258,652.3094124794006,1032.666491508484,1141.080816268921,985.9820241928101,1074.2114524841309,978.3780460357666,718.3652606010437,1017.6930222511292,863.4347295761108
div_rsi,124.4012622833252,55.5455002784729,63.41891098022461,43.473609924316406,24.890390396118164,112.7135796546936,75.42993068695068,122.8741979598999,137.1161994934082,158.03269958496094,137.77240180969238,222.95163345336914,187.81459999084473
rsi14_z96,2523.8910779953003,2583.1745944023132,2557.2644186019897,2942.879623413086,3210.5516595840454,3118.7300324440002,2815.027573108673,3257.6198740005493,3384.095130443573,3294.428389072418,3886.594877719879,3969.158567428589,4105.330898284912
atr14_p,2534.239218711853,2891.2846932411194,3081.366985797882,2819.726489543915,3096.3772044181824,3401.0069217681885,3315.6664609909058,3564.990693092346,4178.988345623016,3557.056001186371,3534.5907287597656,4040.4492807388306,4395.239091873169
atr96_p,6160.443343400955,6832.925132274628,7192.033205509186,8095.401163101196,10059.9918551445,10122.385254383087,10306.26779794693,12120.610510349274,11636.300868034363,11698.654338359833,11870.60909128189,11667.625590324402,11726.05084323883
atr_ratio,2291.443913936615,2305.967439174652,2555.6240668296814,2996.5151104927063,3304.6426405906677,3294.1461029052734,3228.057834625244,3872.298460483551,3503.169681072235,3628.6620664596558,3952.9164962768555,3686.521759033203,3167.9252552986145
atr14_rank_1y,3590.765513896942,3400.1070713996887,3370.7541975975037,3257.190387248993,3552.5867743492126,3479.4895215034485,3934.966033935547,3913.0832448005676,3690.881757736206,3857.1203923225403,4668.903460979462,4211.844210147858,4054.4010667800903
bb_pos,673.0817251205444,873.3977224826813,651.4778618812561,620.1611723899841,827.4603915214539,790.435791015625,650.4489154815674,564.379298210144,714.7524094581604,691.4753708839417,693.0060043334961,844.4155082702637,742.5201568603516
